url,headline,scrape_date,scrape_datetime,time
https://eng.lsm.lv/article/society/crime/09.07.2026-staged-robbery-uncovered-in-ogre-latvia.a654542/,"Staged robbery uncovered in Ogre, Latvia",2026-07-12,2026-07-12_21.45.45,
https://eng.lsm.lv/article/culture/music/10.07.2026-young-jazz-musicians-to-shine-through-summer-concert-competition.a654604/,Young jazz musicians to shine through summer concert competition,2026-07-12,2026-07-12_21.45.45,
https://eng.lsm.lv/article/culture/sport/10.07.2026-ostapenko-wins-first-wimbledon-mixed-doubles-title.a654597/,Ostapenko wins first Wimbledon mixed doubles title,2026-07-12,2026-07-12_21.45.45,
https://eng.lsm.lv/article/culture/culture/10.07.2026-three-for-the-weekend-festivals-abound.a654592/,Three for the Weekend: Festivals abound,2026-07-12,2026-07-12_21.45.45,
https://eng.lsm.lv/article/culture/food-drink/09.07.2026-organic-dairy-brand-bryunala-discontinued-in-latvia.a654540/,Organic dairy brand Bryunaļa discontinued in Latvia,2026-07-12,2026-07-12_21.45.45,
https://eng.lsm.lv/article/culture/food-drink/08.07.2026-sweet-strawberries-but-poor-cherries-this-summer-in-latvia.a654265/,Sweet strawberries but poor cherries this summer in Latvia,2026-07-12,2026-07-12_21.45.45,
https://eng.lsm.lv/article/culture/food-drink/08.07.2026-chanterelle-season-has-begun-in-latvia.a654260/,Chanterelle season has begun in Latvia,2026-07-12,2026-07-12_21.45.45,
https://eng.lsm.lv/article/culture/culture/07.07.2026-latvian-national-library-allocated-cash-to-make-it-better-as-an-event-venue.a654213/,Latvian National Library allocated cash to make it better as an event venue,2026-07-12,2026-07-12_21.45.45,
https://eng.lsm.lv/article/culture/culture/07.07.2026-riga-international-film-festival-returns-in-october.a654142/,Riga International Film Festival returns in October,2026-07-12,2026-07-12_21.45.45,
https://eng.lsm.lv/article/economy/business/10.07.2026-no-decision-made-on-lmttet-ownership-issues.a653979/,No decision made on LMT/Tet ownership issues,2026-07-12,2026-07-12_21.45.45,
https://eng.lsm.lv/article/economy/economy/10.07.2026-latvias-foreign-trade-figures-were-on-the-up-in-may.a653976/,Latvia's foreign trade figures were on the up in May,2026-07-12,2026-07-12_21.45.45,
https://eng.lsm.lv/article/economy/economy/10.07.2026-wind-turbine-loses-blade-during-test-run-in-latvia.a654599/,Wind turbine loses blade during test run in Latvia,2026-07-12,2026-07-12_21.45.45,
https://eng.lsm.lv/article/economy/economy/09.07.2026-latvias-macroeconomic-forecasts-revised-by-finance-ministry.a654477/,Latvia's macroeconomic forecasts revised by Finance Ministry,2026-07-12,2026-07-12_21.45.45,
https://eng.lsm.lv/article/economy/transport/09.07.2026-central-riga-street-sections-to-be-closed-until-end-of-july.a654468/,Central Rīga street sections to be closed until end of July,2026-07-12,2026-07-12_21.45.45,
https://eng.lsm.lv/article/economy/transport/09.07.2026-railway-platform-modernization-project-has-big-problems.a654452/,Railway platform modernization project has big problems,2026-07-12,2026-07-12_21.45.45,
https://eng.lsm.lv/article/features/news-in-simple-latvian/11.07.2026-news-in-simple-latvian-10th-july-2026.a654709/,"News in simple Latvian: 10th July, 2026",2026-07-12,2026-07-12_21.45.45,
https://eng.lsm.lv/article/features/news-in-simple-latvian/10.07.2026-news-in-simple-latvian-9th-july-2026.a654585/,"News in simple Latvian: 9th July, 2026",2026-07-12,2026-07-12_21.45.45,
https://eng.lsm.lv/article/features/news-in-simple-latvian/08.07.2026-news-in-simple-latvian-8th-july-2026.a654411/,"News in simple Latvian: 8th July, 2026",2026-07-12,2026-07-12_21.45.45,
https://eng.lsm.lv/article/features/video/08.07.2026-edward-lucas-there-are-europeans-who-are-willing-to-fight-and-europeans-who-are-not-willing-to-fight.a654287/,"Edward Lucas: 'There are Europeans who are willing to fight, and Europeans who are not willing to fight'",2026-07-12,2026-07-12_21.45.45,
https://eng.lsm.lv/article/features/news-in-simple-latvian/08.07.2026-news-in-simple-latvian-7th-july-2026.a654257/,"News in simple Latvian: 7th July, 2026",2026-07-12,2026-07-12_21.45.45,
https://eng.lsm.lv/article/weather/weather/10.07.2026-dry-and-hot-weather-to-begin-in-latvia-sunday.a654590/,Dry and hot weather to begin in Latvia Sunday,2026-07-12,2026-07-12_21.45.45,
https://eng.lsm.lv/article/weather/weather/08.07.2026-rain-warning-across-latvia-wednesday.a654258/,Rain warning across Latvia Wednesday,2026-07-12,2026-07-12_21.45.45,
https://eng.lsm.lv/article/weather/weather/06.07.2026-weather-will-improve-over-weekend-in-latvia.a653965/,Weather will improve over weekend in Latvia,2026-07-12,2026-07-12_21.45.45,
https://eng.lsm.lv/article/weather/weather/06.07.2026-downpours-still-expected-monday-in-latvia.a653949/,Downpours still expected Monday in Latvia,2026-07-12,2026-07-12_21.45.45,
https://eng.lsm.lv/article/weather/weather/03.07.2026-weekend-weather-will-be-rather-gloomy-in-latvia.a653724/,Weekend weather will be rather gloomy in Latvia,2026-07-12,2026-07-12_21.45.45,
https://eng.lsm.lv/article/weather/weather/03.07.2026-rain-throughout-latvia-on-friday.a653684/,Rain throughout Latvia on Friday,2026-07-12,2026-07-12_21.45.45,
https://eng.lsm.lv/article/weather/weather/30.06.2026-heatwave-abates-in-latvia-on-tuesday-though-yellow-warning-remains.a653217/,"Heatwave abates in Latvia on Tuesday, though yellow warning remains",2026-07-12,2026-07-12_21.45.45,
https://eng.lsm.lv/article/culture/literature/19.07.2026-work-starts-on-translating-new-testament-into-modern-latgalian.a655538/,Work starts on translating New Testament into modern Latgalian,2026-07-19,2026-07-19_22.23.49,10:28
https://eng.lsm.lv/article/society/defence/19.07.2026-no-one-in-armed-forces-will-be-disciplined-over-rezekne-drone-incident.a655536/,No-one in armed forces will be disciplined over Rēzekne drone incident,2026-07-19,2026-07-19_22.23.49,10:20
https://eng.lsm.lv/article/features/news-in-simple-latvian/19.07.2026-news-in-simple-latvian-18th-july-2026.a655534/,"News in simple Latvian: 18th July, 2026",2026-07-19,2026-07-19_22.23.49,10:07
https://eng.lsm.lv/article/culture/food-drink/18.07.2026-expert-dont-eat-second-class-mushrooms.a655498/,Expert: Don't eat second-class mushrooms,2026-07-19,2026-07-19_22.23.49,"Yesterday, 11:03"
https://eng.lsm.lv/article/politics/diplomacy/18.07.2026-latvias-baiba-braze-returns-from-busy-us-trip.a655493/,Latvia's Baiba Braže returns from busy U.S. trip,2026-07-19,2026-07-19_22.23.49,"Yesterday, 10:41"
https://eng.lsm.lv/article/features/news-in-simple-latvian/18.07.2026-news-in-simple-latvian-17th-july-2026.a655494/,"News in simple Latvian: 17th July, 2026",2026-07-19,2026-07-19_22.23.49,"Yesterday, 9:51"
https://eng.lsm.lv/article/culture/culture/17.07.2026-four-city-festivals-for-the-weekend-in-latvia.a655397/,Four city festivals for the weekend in Latvia,2026-07-19,2026-07-19_22.23.49,"July 17, 13:38"
https://eng.lsm.lv/article/society/crime/17.07.2026-latvia-has-lots-of-mainly-female-judges.a655430/,Latvia has lots of (mainly female) judges,2026-07-19,2026-07-19_22.23.49,"July 17, 13:09"
https://eng.lsm.lv/article/politics/politics/17.07.2026-rezekne-still-trying-to-rent-out-its-unwanted-spa-complex.a655426/,Rēzekne still trying to rent out its unwanted spa complex,2026-07-19,2026-07-19_22.23.49,"July 17, 12:52"
https://eng.lsm.lv/article/politics/election/16.07.2026-almost-a-quarter-of-latgale-election-candidates-live-elsewhere.a655286/,Almost a quarter of 'Latgale' election candidates live elsewhere,2026-07-19,2026-07-19_22.23.49,"July 16, 12:17"
https://eng.lsm.lv/article/politics/president/16.07.2026-rinkevics-latvia-and-lithuanuia-share-a-bond-based-on-bloodline.a655249/,Rinkēvičs: Latvia and Lithuanuia share 'a bond based on bloodline',2026-07-19,2026-07-19_22.23.49,"July 16, 8:56"
https://eng.lsm.lv/article/politics/diplomacy/15.07.2026-latvias-baiba-braze-attending-rubio-called-conference-in-washington-dc.a655150/,"Latvia's Baiba Braže attending Rubio-called conference in Washington, D.C.",2026-07-19,2026-07-19_22.23.49,Update 22:28
https://eng.lsm.lv/article/politics/president/15.07.2026-president-rinkevics-heads-to-lithuania.a654956/,President Rinkēvičs heads to Lithuania,2026-07-19,2026-07-19_22.23.49,"July 15, 10:25"
https://eng.lsm.lv/article/politics/diplomacy/14.07.2026-latvias-honorary-consuls-in-ukraine-given-awards.a654960/,Latvia's honorary consuls in Ukraine given awards,2026-07-19,2026-07-19_22.23.49,"July 14, 8:08"
https://eng.lsm.lv/article/politics/diplomacy/13.07.2026-russia-planning-to-make-sarcastic-use-of-international-courts-against-baltics.a654903/,Russia planning to make sarcastic use of international courts against Baltics,2026-07-19,2026-07-19_22.23.49,"July 13, 16:12"
https://eng.lsm.lv/article/society/defence/17.07.2026-journalists-expose-online-terrorism-efforts-in-poland-and-baltics.a655398/,Journalists expose online terrorism efforts in Poland and Baltics,2026-07-19,2026-07-19_22.23.49,"July 17, 11:06"
https://eng.lsm.lv/article/society/society/17.07.2026-stores-set-fuel-pellet-purchase-limits-producers-say-theres-plenty-to-go-around.a655394/,Stores set fuel pellet purchase limits – producers say there's plenty to go around,2026-07-19,2026-07-19_22.23.49,"July 17, 10:19"
https://eng.lsm.lv/article/society/education/16.07.2026-small-demonstration-staged-against-closure-of-sports-school.a655319/,Small demonstration staged against closure of sports school,2026-07-19,2026-07-19_22.23.49,"July 16, 15:55"
https://eng.lsm.lv/article/society/education/16.07.2026-young-latvians-lag-behind-neighbours-in-digital-skills.a655278/,Young Latvians lag behind neighbours in digital skills,2026-07-19,2026-07-19_22.23.49,"July 16, 11:39"
https://eng.lsm.lv/article/society/society/16.07.2026-auditors-deliver-damning-report-on-ogre-district-procurement-practices.a655254/,Auditors deliver damning report on Ogre district procurement practices,2026-07-19,2026-07-19_22.23.49,"July 16, 10:10"
https://eng.lsm.lv/article/society/education/16.07.2026-researchers-in-latvia-concerned-about-potential-threat-to-academic-freedom.a655251/,Researchers in Latvia concerned about potential threat to academic freedom,2026-07-19,2026-07-19_22.23.49,"July 16, 9:36"
https://eng.lsm.lv/article/culture/theatre/17.07.2026-ghostly-goings-on-at-latvian-radio.a655384/,Ghostly goings-on at Latvian Radio,2026-07-19,2026-07-19_22.23.49,"July 17, 9:37"
https://eng.lsm.lv/article/culture/culture/16.07.2026-new-tourism-brochure-available-for-valmiera-district.a655307/,New tourism brochure available for Valmiera district,2026-07-19,2026-07-19_22.23.49,"July 16, 14:50"
https://eng.lsm.lv/article/culture/sport/16.07.2026-liepaja-advances-in-uefa-conference-league-qualification.a655267/,Liepāja advances in UEFA Conference League qualification,2026-07-19,2026-07-19_22.23.49,"July 16, 11:04"
https://eng.lsm.lv/article/culture/food-drink/15.07.2026-berry-good-latvias-juiciest-exports-have-growth-potential.a655123/,Berry good – Latvia's juiciest exports have growth potential,2026-07-19,2026-07-19_22.23.49,"July 15, 10:54"
https://eng.lsm.lv/article/culture/sport/14.07.2026-latvia-joins-call-for-eu-to-cut-funding-to-international-olympic-committee.a655001/,Latvia joins call for EU to cut funding to International Olympic Committee,2026-07-19,2026-07-19_22.23.49,"July 14, 11:34"
https://eng.lsm.lv/article/economy/economy/17.07.2026-latvian-central-bank-publishes-latest-macroeconomic-projections-report.a655410/,Latvian central bank publishes latest Macroeconomic Projections Report,2026-07-19,2026-07-19_22.23.49,"July 17, 11:22"
https://eng.lsm.lv/article/economy/employment/16.07.2026-women-have-longer-working-lives-than-men-in-latvia.a655322/,Women have longer working lives than men in Latvia,2026-07-19,2026-07-19_22.23.49,"July 16, 16:38"
https://eng.lsm.lv/article/economy/transport/16.07.2026-media-speculates-about-airbaltic-short-term-financing.a655317/,Media speculates about airBaltic short-term financing,2026-07-19,2026-07-19_22.23.49,"July 16, 15:42"
https://eng.lsm.lv/article/economy/transport/16.07.2026-riga-to-get-a-few-more-cycle-lanes.a655306/,Rīga to get a few more cycle lanes,2026-07-19,2026-07-19_22.23.49,"July 16, 14:40"
https://eng.lsm.lv/article/economy/transport/15.07.2026-riga-bridge-repairs-likely-to-cause-traffic-disruption.a655219/,Rīga bridge repairs likely to cause traffic disruption,2026-07-19,2026-07-19_22.23.49,"July 15, 18:48"
https://eng.lsm.lv/article/economy/transport/15.07.2026-why-did-daugavpils-sell-its-buses-its-complicated.a655159/,Why did Daugavpils sell its buses? It's complicated,2026-07-19,2026-07-19_22.23.49,"July 15, 14:08"
https://eng.lsm.lv/article/economy/business/15.07.2026-rezekne-to-host-second-dual-use-export-forum.a655132/,Rēzekne to host second 'Dual-Use Export Forum',2026-07-19,2026-07-19_22.23.49,"July 15, 11:23"
https://eng.lsm.lv/article/economy/economy/14.07.2026-new-vat-rules-seem-to-be-applied-properly-in-latvia.a655014/,New VAT rules seem to be applied properly in Latvia,2026-07-19,2026-07-19_22.23.49,"July 14, 12:26"
https://eng.lsm.lv/article/features/news-in-simple-latvian/17.07.2026-news-in-simple-latvian-16th-july-2026.a655379/,"News in simple Latvian: 16th July, 2026",2026-07-19,2026-07-19_22.23.49,"July 17, 9:15"
https://eng.lsm.lv/article/features/news-in-simple-latvian/16.07.2026-news-in-simple-latvian-15th-july-2026.a655243/,"News in simple Latvian: 15th July, 2026",2026-07-19,2026-07-19_22.23.49,"July 16, 8:18"
https://eng.lsm.lv/article/features/news-in-simple-latvian/15.07.2026-news-in-simple-latvian-14th-july-2026.a655115/,"News in simple Latvian: 14th July, 2026",2026-07-19,2026-07-19_22.23.49,"July 15, 9:53"
https://eng.lsm.lv/article/features/news-in-simple-latvian/14.07.2026-news-in-simple-latvian-13th-july-2026.a654953/,"News in simple Latvian: 13th July, 2026",2026-07-19,2026-07-19_22.23.49,"July 14, 7:23"
https://eng.lsm.lv/article/features/news-in-simple-latvian/13.07.2026-news-in-simple-latvian-12th-july-2026.a654820/,"News in simple Latvian: 12th July, 2026",2026-07-19,2026-07-19_22.23.49,"July 13, 8:48"
https://eng.lsm.lv/article/weather/weather/17.07.2026-warm-weekend-ahead-in-latvia.a655386/,Warm weekend ahead in Latvia,2026-07-19,2026-07-19_22.23.49,"July 17, 10:01"
https://eng.lsm.lv/article/weather/weather/13.07.2026-sunny-start-to-the-weather-week-in-latvia.a654824/,Sunny start to the weather week in Latvia,2026-07-19,2026-07-19_22.23.49,"July 13, 9:11"
https://eng.lsm.lv/article/society/environment/26.07.2026-warning-issued-after-bears-reported-in-riga-suburb.a656348/,Warning issued after bears reported in Rīga suburb,2026-07-26,2026-07-26_21.41.46,
https://eng.lsm.lv/article/features/news-in-simple-latvian/26.07.2026-news-in-simple-latvian-25th-july-2026.a656346/,"News in simple Latvian: 25th July, 2026",2026-07-26,2026-07-26_21.41.46,
https://eng.lsm.lv/article/culture/history/25.07.2026-new-holocaust-memorial-unveiled-in-liepaja.a656304/,New Holocaust memorial unveiled in Liepāja,2026-07-26,2026-07-26_21.41.46,
https://eng.lsm.lv/article/features/news-in-simple-latvian/24.07.2026-news-in-simple-latvian-24th-july-2026.a656291/,"News in simple Latvian: 24th July, 2026",2026-07-26,2026-07-26_21.41.46,
https://eng.lsm.lv/article/society/crime/24.07.2026-err-illegal-migrants-arrested-in-estonia-believed-to-have-travelled-via-latvia.a656273/,ERR: Illegal migrants arrested in Estonia believed to have travelled via Latvia,2026-07-26,2026-07-26_21.41.46,
https://eng.lsm.lv/article/politics/diplomacy/24.07.2026-latvian-honorary-consulate-building-in-sloviansk-destroyed-by-russian-strike.a656267/,Latvian honorary consulate building in Sloviansk destroyed by Russian strike,2026-07-26,2026-07-26_21.41.46,
https://eng.lsm.lv/article/society/crime/24.07.2026-state-security-service-investigates-fire-at-ukrainian-charity-warehouse.a656192/,State Security Service investigates fire at Ukrainian charity warehouse,2026-07-26,2026-07-26_21.41.46,
https://eng.lsm.lv/article/economy/transport/24.07.2026-latvias-airbaltic-faces-another-investigation-of-its-finances.a656264/,Latvia's airBaltic faces another investigation of its finances,2026-07-26,2026-07-26_21.41.46,
https://eng.lsm.lv/article/politics/election/24.07.2026-election-authority-cans-candidate-over-criminal-record.a656204/,Election authority cans candidate over criminal record,2026-07-26,2026-07-26_21.41.46,
https://eng.lsm.lv/article/politics/saeima/23.07.2026-latvian-parliament-replaces-outdated-voting-system.a656094/,Latvian parliament replaces outdated voting system,2026-07-26,2026-07-26_21.41.46,
https://eng.lsm.lv/article/politics/election/23.07.2026-how-accessible-will-latvias-upcoming-elections-be.a656023/,How accessible will Latvia's upcoming elections be?,2026-07-26,2026-07-26_21.41.46,
https://eng.lsm.lv/article/politics/politics/22.07.2026-latvian-cabinet-approves-its-own-plan-of-action.a655882/,Latvian cabinet approves its own plan of action,2026-07-26,2026-07-26_21.41.46,
https://eng.lsm.lv/article/society/society/24.07.2026-latvia-ramps-up-language-fine-penalties.a656214/,Latvia ramps up language fine penalties,2026-07-26,2026-07-26_21.41.46,
https://eng.lsm.lv/article/society/defence/24.07.2026-latvia-and-american-company-plan-artillery-factory-within-2-years.a656200/,Latvia and American company plan artillery factory within 2 years,2026-07-26,2026-07-26_21.41.46,
https://eng.lsm.lv/article/society/crime/23.07.2026-alleged-migrant-attack-in-riga-not-all-it-seemed-to-be.a656027/,Alleged 'migrant attack' in Rīga not all it seemed to be,2026-07-26,2026-07-26_21.41.46,
https://eng.lsm.lv/article/society/defence/22.07.2026-latvia-compiles-a-national-risk-catalogue.a655951/,Latvia compiles a 'National Risk Catalogue',2026-07-26,2026-07-26_21.41.46,
https://eng.lsm.lv/article/society/defence/22.07.2026-entrepreneurs-for-peace-opens-new-base-in-riga.a655885/,'Entrepreneurs for Peace' opens new base in Rīga,2026-07-26,2026-07-26_21.41.46,
https://eng.lsm.lv/article/culture/culture/24.07.2026-three-for-the-weekend-valmiera-734-drift-masters-polish-speedway.a656170/,"Three for the weekend: Valmiera 734, Drift Masters, Polish Speedway",2026-07-26,2026-07-26_21.41.46,
https://eng.lsm.lv/article/culture/art/24.07.2026-exhibition-of-latvian-exile-art-without-america-opened-in-liepaja.a656169/,"Exhibition of Latvian exile art, 'Without America', opened in Liepāja",2026-07-26,2026-07-26_21.41.46,
https://eng.lsm.lv/article/culture/music/24.07.2026-new-concert-hall-will-open-in-salaspils-in-september.a656166/,New concert hall will open in Salaspils in September,2026-07-26,2026-07-26_21.41.46,
https://eng.lsm.lv/article/culture/music/24.07.2026-latvias-eurovision-supernova-song-cycle-starts-again-soon.a656159/,Latvia's Eurovision Supernova song cycle starts again soon,2026-07-26,2026-07-26_21.41.46,
https://eng.lsm.lv/article/culture/art/23.07.2026-roger-ballen-retrospective-in-daugavpils-comes-highly-recommended.a656074/,Roger Ballen retrospective in Daugavpils comes highly recommended,2026-07-26,2026-07-26_21.41.46,
https://eng.lsm.lv/article/culture/sport/23.07.2026-great-results-for-riga-in-european-football.a656036/,Great results for Rīga in European football,2026-07-26,2026-07-26_21.41.46,
https://eng.lsm.lv/article/culture/history/23.07.2026-book-traces-history-of-legendary-latvian-stately-home.a656017/,Book traces history of legendary Latvian stately home,2026-07-26,2026-07-26_21.41.46,
https://eng.lsm.lv/article/economy/transport/24.07.2026-bumpy-road-is-putting-off-tourists-on-kurzeme-coast.a656172/,Bumpy road is putting off tourists on Kurzeme coast,2026-07-26,2026-07-26_21.41.46,
https://eng.lsm.lv/article/economy/transport/24.07.2026-in-latvia-the-trains-are-on-time-but-the-platforms-are-running-late.a656160/,"In Latvia, the trains are on time but the platforms are running late",2026-07-26,2026-07-26_21.41.46,
https://eng.lsm.lv/article/economy/economy/23.07.2026-saeima-tweaks-business-rules-in-food-supply-sector.a656085/,Saeima tweaks business rules in food supply sector,2026-07-26,2026-07-26_21.41.46,
https://eng.lsm.lv/article/economy/banks/22.07.2026-latvias-president-and-pm-comment-on-potential-luminor-sale.a655943/,Latvia's President and PM comment on potential Luminor sale,2026-07-26,2026-07-26_21.41.46,
https://eng.lsm.lv/article/economy/economy/22.07.2026-latvia-remains-one-of-the-eus-less-indebted-members.a655894/,Latvia remains one of the EU's less-indebted members,2026-07-26,2026-07-26_21.41.46,
https://eng.lsm.lv/article/economy/transport/21.07.2026-latvian-transport-minister-promises-rail-baltica-management-re-jig.a655740/,Latvian Transport Minister promises Rail Baltica management re-jig,2026-07-26,2026-07-26_21.41.46,
https://eng.lsm.lv/article/economy/banks/21.07.2026-hungarys-otp-to-buy-baltic-bank-luminor.a655717/,Hungary's OTP to buy Baltic bank Luminor,2026-07-26,2026-07-26_21.41.46,
https://eng.lsm.lv/article/features/news-in-simple-latvian/24.07.2026-news-in-simple-latvian-23rd-july-2026.a656158/,"News in simple Latvian: 23rd July, 2026",2026-07-26,2026-07-26_21.41.46,
https://eng.lsm.lv/article/features/media/23.07.2026-film-director-takes-over-at-latvian-youth-radio-station.a656080/,Film director takes over at Latvian youth radio station,2026-07-26,2026-07-26_21.41.46,
https://eng.lsm.lv/article/features/news-in-simple-latvian/23.07.2026-news-in-simple-latvian-22nd-july-2026.a656012/,"News in simple Latvian: 22nd July, 2026",2026-07-26,2026-07-26_21.41.46,
https://eng.lsm.lv/article/features/news-in-simple-latvian/22.07.2026-news-in-simple-latvian-21st-july-2026.a655850/,"News in simple Latvian: 21st July, 2026",2026-07-26,2026-07-26_21.41.46,
https://eng.lsm.lv/article/features/news-in-simple-latvian/21.07.2026-news-in-simple-latvian-20th-july-2026.a655734/,"News in simple Latvian: 20th July, 2026",2026-07-26,2026-07-26_21.41.46,
https://eng.lsm.lv/article/features/news-in-simple-latvian/20.07.2026-news-in-simple-latvian-19th-july-2026.a655603/,"News in simple Latvian: 19th July, 2026",2026-07-26,2026-07-26_21.41.46,
https://eng.lsm.lv/article/weather/weather/21.07.2026-two-roads-washed-away-in-talsi-district.a655738/,Two roads washed away in Talsi district,2026-07-26,2026-07-26_21.41.46,
https://eng.lsm.lv/article/weather/weather/20.07.2026-storm-warning-on-monday-across-latvia.a655604/,Storm warning on Monday across Latvia,2026-07-26,2026-07-26_21.41.46,
https://eng.lsm.lv/article/features/news-in-simple-latvian/08.08.2026-news-in-simple-latvian-8th-august-2026.a658030/,"News in simple Latvian: 8th August, 2026",2026-08-09,2026-08-09_13.23.45,
https://eng.lsm.lv/article/features/features/08.08.2026-for-sale-a-modern-latvian-architectural-icon.a657215/,For sale: a modern Latvian architectural icon,2026-08-09,2026-08-09_13.23.45,
https://eng.lsm.lv/article/features/news-in-simple-latvian/07.08.2026-news-in-simple-latvian-7th-august-2026.a657977/,"News in simple Latvian: 7th August, 2026",2026-08-09,2026-08-09_13.23.45,
https://eng.lsm.lv/article/society/education/07.08.2026-mikrotik-makes-another-large-donation-to-university.a657953/,MikroTik makes another large donation to university,2026-08-09,2026-08-09_13.23.45,
https://eng.lsm.lv/article/society/society/07.08.2026-jokes-and-art-or-racism-blurred-lines-in-latvia.a657949/,Jokes and art or racism: blurred lines in Latvia,2026-08-09,2026-08-09_13.23.45,
https://eng.lsm.lv/article/economy/business/07.08.2026-latvian-fuel-station-chain-virsi-posts-half-year-profit.a657933/,Latvian fuel station chain Virši posts half-year profit,2026-08-09,2026-08-09_13.23.45,
https://eng.lsm.lv/article/culture/sport/07.08.2026-speedway-stars-are-coming-to-riga.a657932/,Speedway stars are coming to Rīga,2026-08-09,2026-08-09_13.23.45,
https://eng.lsm.lv/article/society/education/07.08.2026-latvias-rd-spending-up-by-more-than-30-in-a-year.a657221/,Latvia's R&D spending up by more than 30% in a year,2026-08-09,2026-08-09_13.23.45,
https://eng.lsm.lv/article/politics/politics/07.08.2026-anti-bureaucracy-task-force-generates-25-more-proposals.a657894/,Anti-bureaucracy task force generates 25 more proposals,2026-08-09,2026-08-09_13.23.45,
